"","X","country","description","designation","points","price","province","region_1","region_2","variety","winery"
"11",61062,"US","This is one to think about for its complex nature that changes by the moment. On the surface, it's soft and ripe, with an explosion of cherry pie, strawberry, cola and mocha flavors enriched with the vanilla and smoky caramel of new oak. Yet every sip as it warms in the glass reveals another layer. Gorgeously textured, right up there with the best.","Brown Ranch",94,60,"California","Carneros","Napa-Sonoma","Pinot Noir","Saintsbury"
"12",39558,"US","Just-ripe blackberry forms a tight, centralized core aroma, with flashes of pencil lead, dried rose petals and lavender adding nuance. It's focused and dark on the palate, with grippy pine sap stringing together purple fruit, dried cranberry and black pepper flavors.","Precious Stone, Stone Corral Vineyard",93,62,"California","Edna Valley","Central Coast","Pinot Noir","Kynsi"
"13",2250,"US","Getting quality Pinot Noir for $20 remains a tough trick to pull, but this succeeds with fresh raspberry, white pepper and wet rock aromas. The flavors are delicate, ranging from cherry to cedar to Italian herbs, with some noticeable complexity.","",87,20,"California","Central Coast","Central Coast","Pinot Noir","Edna Valley Vineyard"
"14",53530,"US","This is a smooth customer, with a rich, silky mouthfeel, and has the soft seductive velvety character that allows it to feel complete as a standalone clone. It stops a bit short in the finish, hitting some herbal tannins, but resonates with pretty barrel notes of caramel and a hint of honey.","Prince Hill Pommard",90,50,"Oregon","Dundee Hills","Willamette Valley","Pinot Noir","Erath"
"15",146363,"US","Like Londer's regular Pinot, this two-vineyard blend is light in body and silky. It's also lusher, with a dense core of cherry, cola, rhubarb tea and spice flavors. It's a little flabby, but makes up for it in delicacy.","Paraboll",88,45,"California","Anderson Valley","Mendocino/Lake Counties","Pinot Noir","Londer"
"16",19384,"US","A good, fairly complex California Chardonnay, marked by ripe, jammy orange, pear and apricot fruit flavors. Winemaker interventions also play roles, with the malolactic fermentation adding buttery notes and French oak contributing sweet caramel.","Dutton Ranch",89,35,"California","Russian River Valley","Sonoma","Chardonnay","Dutton-Goldfield"
"17",113366,"US","A rich, New World-style Chard with very ripe, forward fruity flavors of tangerine, apricot, and tropical fruits. Well-framed in oak, and with refreshingly crisp acids, this full-bodied wine is well-priced for the quality.","Riverstone",87,14,"California","Arroyo Seco","Central Coast","Chardonnay","J. Lohr"
"18",81263,"US","Solidly fruity, with a mix of apple, pear and peach, this pleasant, easy-drinking Chardonnay plays out broadly across the palate. It is immediately accessible, ready and appears to be at its peak. Light baking spices enhance the finish.","Carabella Vineyard",87,28,"Oregon","Chehalem Mountains","Willamette Valley","Chardonnay","Blakeslee"
"19",147909,"US","The flagship of the Peter Michael Chardonnays is a stylish, sexy wine. Opens with a wonderful nose of peach, tropical fruit, nuts and orange tea; it shows great poise and a classic sense of proportion from bouquet to finish. The wine unfolds and expands in the glass, offering lovely orange, mineral and tarragon flavors. The engaging finish has great length and subtle aromas and flavors. Impressive for its restraint and attention to detail, this is delicious now but will also reward keeping. Cellar Selection.","Cuvee Indigene",92,85,"California","Sonoma County","Sonoma","Chardonnay","Peter Michael Winery"
"20",111952,"US","This is an enomoursly rich Chardonnay that positively explodes in apricot jam, pineapple, vanilla custard and butterscotch flavors. It's balanced with crisp, cool-climate Carneros acidity that makes it tangy and clean. Easy to find, with 33,000 cases produced.","",88,20,"California","Carneros","Napa-Sonoma","Chardonnay","Artesa"
"21",127563,"US","Crisp and classic, with a nose and flavors of lemon, raspberry and spice. Clean and delicate, the wine will show well next to grilled seafood, salads and lighter fare.","Grandioso",87,29,"New York","Long Island","Long Island","Rosé","Wölffer"
"22",36135,"US","Ruby in color yet delicate in extract, this blend of Zweigelt and Lemberger is a concession between a red and rosé wine. On the palate, bright red-berry flavors are layered in unusual tones of caramel and spice. The label suggests it can be served both chilled and at room temperature.","Beyond",83,18,"New York","Finger Lakes","Finger Lakes","Rosé","Shalestone"
"23",81276,"US","Finished with just a bare trace of sweetness, this delightful, fruity Grenache rosé mixes fresh raspberry and pale cherry fruit with hints of toasted cracker. Round and tangy, it's a perfect sipping wine for outdoor dining.","Alder Ridge Vineyard Grenache",88,19,"Washington","Horse Heaven Hills","Columbia Valley","Rosé","L'Ecole No. 41"
"24",27718,"US","Lush with ripe red raspberry and cherry flavors, yet nervy with acidity and minerality, this dusty-rose rosé is quaffable yet remarkably nuanced. It's rich and silky on the palate with a lingering cherry blossom perfume on the finish.","Dry",89,16,"New York","Finger Lakes","Finger Lakes","Rosé","Damiani"
"25",117114,"US","Dry like the name says, and also freshly acidic like a young Beaujolais; and pleasantly silky. The flavor is modest in cherries and spice.","Dry Rose Wine",83,13,"California","California","California Other","Rosé","Enjoie"
"26",9289,"US","Meaty and brooding, this is a taut, focused and dusty wine made from organically and biodynamically grown grapes. Tart cranberry notes give it a sharpness that accentuates the deeper, richer layers of black fruit.","",91,32,"California","Dry Creek Valley","Sonoma","Syrah","Quivira"
"27",117953,"US","This is young, tangy, juicy and sweet, with ripe but quite tart fruit, showing plenty of acid and citrus rind. The toasty oak flavors are front and center, and delicious. All the Gamache red wines will benefit from additional bottle age, which will soften and meld the bacon fat, herb and sharp spice flavors. There is a lot of potential here for further development.","Estate",90,28,"Washington","Columbia Valley (WA)","Columbia Valley","Syrah","Gamache"
"28",112429,"US","Really not a very likeable Syrah despite some tasty cherry fruit flavors. The problem is enormously high alcohol, 15.9%, that makes the wine hot, and a near absence of acidity, which makes it cloying. The imbalance makes the tannins astringent.","F Block Rodney's Vineyard",82,45,"California","Santa Barbara County","Central Coast","Syrah","Epiphany"
"29",118827,"US","Sweaty and pruney in the nose, this hot and disjointed wine could be almost any red grape; there's no varietal character. It's volatile and thins out quickly, leaving green tannins in the back of the mouth.","",82,32,"Oregon","Columbia Valley (OR)","Oregon Other","Syrah","Cathedral Ridge"
"30",100690,"US","Dark, soft and delicious, this Syrah has extremely complex flavors. They range from blackberries and black currants to chocolate, anise, bacon, black pepper, violets, and an edge of smoky sandalwood. Drink this bone dry wine now.","Mesa Verde Vineyard",90,20,"California","Santa Barbara County","Central Coast","Syrah","Brander"
"31",120270,"US","Big, tough, gutsy, fruity, tannic. In other words, Petite Sirah, and classic at that. Shows very ripe, deep and long-lasting flavors of blackberries, blueberries, currants, chocolate, cedar and spices, in a bone-dry, full-bodied red wine. Good now, and should develop over a decade.","Staten Family Reserve",92,35,"California","Alexander Valley","Sonoma","Petite Sirah","Field Stone"
"32",65169,"US","Not showing well now, unless you like your wines superripe to the point of sweetness, soft and hot. Tastes like a berry-chocolate candy bar melted down into wine, with lots of caramelized oak. Maybe it will go someplace down the road.","Wittstrom Vineyard",82,36,"California","Paso Robles","Central Coast","Petite Sirah","Ortman Family"
"33",136813,"US","What an aroma. So Côte-Rôtie, so powerful and rich, yet so refined. Masses of white pepper, cassis, freshly ground French roast, cocoa, gingersnap cookie, char, vanilla, cinnamon—and that's just the smell! In the mouth, there's all that and more. Dry, massive, deep and long. A triumph. 2008–2020.","Hayne Vineyard",94,80,"California","Napa Valley","Napa","Petite Sirah","Turley"
"34",47345,"US","A beautiful wine, just what a Napa Petite Sirah should be: Dark, dry, tannic and muscular, showing leathery, meaty flavors, with hints of blackberries, chocolate and violets, and a sprinkling of pepper. Great now for its full-bodied richness, and should develop interestingly over the next decade.","Roux Old Vine",93,50,"California","St. Helena","Napa","Petite Sirah","Chiarello Family Vineyards"
"35",25043,"US","This is lovely in violet perfume and bacony leather, structured like a tall building and best left to mellow out for further development. Winemaker John Kinney destemmed without crushing to preserve as many whole berries as he could, and kept the wine fermenting at lower temperatures to tame the tannins.","Del Arroyo Vineyard",88,30,"California","Livermore Valley","Central Coast","Petite Sirah","Occasio"
"36",81695,"US","This off-dry Riesling offers plenty of concentrated apple juice flavors accented by a dash of lemon and savory apple pie spice. There's a hint of petrol throughout that adds a layer of depth, but overall, it's simple and easy drinking.","Semi-Dry",85,14,"New York","Finger Lakes","Finger Lakes","Riesling","Hunt Country Vineyards"
"37",3708,"US","This wine offers notes of peach, honeysuckle and lime leaf. It's sweet and lightly spritzy in feel, with lavender flavors on the finish.","",85,20,"Washington","Wahluke Slope","Columbia Valley","Riesling","Henry Earl"
"38",13911,"US","Abundantly floral and fruity, with loads of lavender, peony and sweet grapefruit notes, this is a dry yet remarkably lush and concentrated Riesling. Vivid acidity and lingering hints of lime skin, wax and lanolin add structure and complexity.","Dry",89,15,"New York","Finger Lakes","Finger Lakes","Riesling","Knapp"
"39",40996,"US","Fresh mint and menthol notes lend a herbaceous tone to this dry, slightly grassy Riesling. Lemon and lime flavors are brisk and clean on the palate.","Dry",85,11,"New York","Finger Lakes","Finger Lakes","Riesling","Casa Larga"
"40",12115,"US","Ribbon Ridge is making a name for itself as a premier AVA for Oregon Riesling. This rich, mineral-laden wine is scented with orange blossoms and loaded with fruit flavors of Bosc pears, peaches, apricots and a touch of grapefruit. It's big, full bodied, fresh and powerful, and an excellent value.","Whimsy",93,20,"Oregon","Ribbon Ridge","Willamette Valley","Riesling","Styring"
"41",97006,"US","Sweet and fairly simple, a Port-style blend of Cabernet Sauvignon and Syrah that features sugary blackberry and chocolate flavors.","Magia Preta",84,75,"California","Paso Robles","Central Coast","Cabernet Sauvignon-Syrah","Roxo Port Cellars"
"42",12099,"US","A dry, complex wine emboldened by the 63% Cabernet Sauvignon blended with 37% Syrah, this is a compelling combination of black-olive tapenade and smoky tannin founded atop ripe California blueberry, cassis and black currant. Saddle and tobacco appear on the finish, giving it a spicy end. Drink now through 2022.","Blend 25",93,63,"California","Napa Valley","Napa","Cabernet Sauvignon-Syrah","B Cellars"
"43",45372,"US","Tasted in late winter, this blend of Cabernet (85%) and Syrah (15%) was fruity and chocolaty, with a pastry sweetness that was a bit simple. But by early summer it had acquired greater depth and balance, and seemed drier and better structured. Shows real charm and finesse. Drink now–2010.","Paso Bordo",92,49,"California","Paso Robles","Central Coast","Cabernet Sauvignon-Syrah","Cerro Prieto"
"44",50629,"US","Dry and tannic, a wine that could soften and mellow with a few years of aging. Shows intense flavors of cherries, black raspberries and currants, folded into hard tannins, with a spicy finish. 50% Cabernet Sauvignon, 50% Syrah.","Sy-Cab",87,35,"California","Paso Robles","Central Coast","Cabernet Sauvignon-Syrah","Pipestone Vineyards"
"45",53986,"US","Sweet and fairly simple, a Port-style blend of Cabernet Sauvignon and Syrah that features sugary blackberry and chocolate flavors.","Magia Preta",84,75,"California","Paso Robles","Central Coast","Cabernet Sauvignon-Syrah","Roxo Port Cellars"
"46",110685,"US","This rich, sweetly fruity and creamy wine is almost dessert-like. It has vibrant tropical fruit and peach flavors that taste like they were baked into a pie. But it's also very acidic, and the finish is dry. Great as a cocktail sipper; try with Thai and Vietnamese fare.","",88,19,"California","Anderson Valley","Mendocino/Lake Counties","Pinot Gris","Navarro"
"47",84416,"US","Sharp and driven with spicy pear and pineapple fruit, this challenging Pinot Gris is distinctive and tailored for food. The flavors seem to come from the grape skins more than the pulp, and there is no new oak to intercede. Fermented and aged in steel, put through malolactic, still showing plenty of acidity and spice.","",88,15,"Oregon","Dundee Hills","Willamette Valley","Pinot Gris","The Eyrie Vineyards"
"48",105074,"US","Expresses the exotic side of Viognier's character, with tropical quince, lychee and pineapple flavors, and a mild sweet-and-sour apricot sauce finish. This rich wine finishes dry.","La Cruz Vineyard",87,20,"California","Sonoma Coast","Sonoma","Pinot Gris","Keller Estate"
"49",29181,"US","Aromas of hazelnut, mineral and pear lead to off-dry, full-feeling fruit flavors that are stitched up with citric acidity on the finish. It doesn't entirely come together but there's plenty to enjoy.","Celilo Vineyard",87,20,"Washington","Columbia Gorge (WA)","Washington Other","Pinot Gris","Ross Andrew"
"50",36771,"US","The current downturn in demand for both grapes and expensive wines only helps A to Z; there is more good fruit to purchase, and plenty of demand at a $12 price point. This new Pinot Gris is fresh and racy, with a mineral-driven acidity underlying the clean fruit, tasting of pears and pear skin.","",88,12,"Oregon","Oregon","Oregon Other","Pinot Gris","A to Z"
"51",52776,"US","With its ripe flavors of blackberry and cherry jam, red currant, cocoa, anise and smoky oak, this demonstrates a certain degree of complexity. Sweet and simple, this is showing its best now, and it should drink well for the next 2–3 years.","",86,40,"California","Paso Robles","Central Coast","Meritage","Robert Hall"
"52",140483,"US","This Meritage blend includes 10% Merlot and 20% Malbec. It is a soft, chocolaty wine with bright raspberry/cherry fruit and plenty of new oak flavors. The oak is still tough and bitter; it has not had sufficient time to soften. 1,500 cases made.","Artist Series",88,48,"Washington","Columbia Valley (WA)","Columbia Valley","Meritage","Chateau Ste. Michelle"
"53",77895,"US","Two thirds Cabernet Sauvignon, this Bordeaux blend is the best bottle from Goose Ridge. The fruit is sappy and strong, with rich, ripe berry and cassis flavors. Tannins are firm and lightly spiced with fresh herb. The wine has depth and bite, the potential to age over the next half decade or more, but it's drinking well right now.","Sol Duc",90,50,"Washington","Columbia Valley (WA)","Columbia Valley","Meritage","Goose Ridge"
"54",29823,"US","A great wine for drinking now, this is just beginning to show the evolution of its primary blackberry, blueberry and currant fruits. Hints of anise, dark chocolate, dried herb, spices and cedar add interest. This is a blend of the classic Bordeaux varieties, but the Cabernet Sauvignon component stands front and center with its firm tannins, depth and concentration.","Reserve Alexandre",94,45,"California","Alexander Valley","Sonoma","Meritage","Geyser Peak"
"55",31357,"US","A blend of Cabernet Sauvignon, Cabernet Franc and Merlot, this wine's fruit is sourced entirely from the Conner Lee Vineyard. The superjuicy black-cherry flavor is balanced by generous acidity. Vibrant and full, long and fresh, this could age gracefully for a decade or more.","",92,30,"Washington","Columbia Valley (WA)","Columbia Valley","Meritage","Kaella"
"56",51382,"US","Aged for 14 months in stainless steel with lees influence, this Viognier is expressive of peach, flower, mineral and crème fraîche. It doesn't pack the flamboyance that many Viognier's do; instead, it demonstrates poise, bearing medium body and balanced acidity. A minerally tang and a squirt of blood orange accent the finish.","Reserve",87,30,"Virginia","Virginia","","Viognier","Barboursville Vineyards"
"57",145462,"US","Dick Arrowood's Saralee's Viognier is consistently one of the best in California. Dependably ripe in juicy tropical fruit, wildflower, honey and vanilla flavors, it's balanced with acidity and minerals.","Saralee's Vineyard",91,30,"California","Russian River Valley","Sonoma","Viognier","Arrowood"
"58",36009,"US","This seems designed to appeal to the Moscato-loving crowd. It has sweet flavors, with apricot and tangerine notes that taste like fruit juice.","",82,12,"California","North Coast","North Coast","Viognier","Cline"
"59",5500,"US","Fermented in stainless steel, this medium-bodied wine is supple in nutty pear and fig, as well as viscous in honey. Serve chilled with chicken-lemongrass banh mi.","",86,24,"California","Alexander Valley","Sonoma","Viognier","Wattle Creek"
"60",88577,"US","Fermented and aged in neutral oak, this mixes the richness of Chardonnay with the herbaceous tang of Sauvignon Blanc—but flavors notwithstanding, it's in fact pure Viognier. Excellent mouthfeel and structure carry the light and pretty fruit onto the finish that shows just a hint of barrel toast.","",90,35,"Washington","Walla Walla Valley (WA)","Columbia Valley","Viognier","Lullaby"
"61",111597,"US","Pretty tough and tannic now, with a bone-dry, mouth-numbingly austere feeling throughout, and doesn't seem to have the fruity stuffing to develop. You'll find traces of blackberries in the gritty finish.","Robert's Blend",84,75,"California","Oakville","Napa","Cabernet Sauvignon-Cabernet Franc","Oakville Ranch"
"62",103,"US","This Cabernet Sauvignon-dominant blend boasts leather, tobacco leaf and black pepper flavors, giving it muscle and a rustic edge, the tannins and fruit mellowed with age.","Bella's Blend",86,48,"California","Knights Valley","Sonoma","Cabernet Sauvignon-Cabernet Franc","Ehret"
"63",126824,"US","Compare this with the winery's 2005 bottling (they were co-released for some reason), and you get a good example of vintage variation. The '05 was balanced; this '04 is too ripe, with currant and chocolate flavors that are almost sweet on the finish. Ready now.","Blair Vineyard",87,39,"California","Napa Valley","Napa","Cabernet Sauvignon-Cabernet Franc","S. P. Drummer"
"64",105643,"US","The vineyard is located between St. Helena and Calistoga, and the blend is just about 50-50 of the two Bordeaux varieties. It's a ripe, fruity, jammy wine with some sharpness in the finish.","Blair Vineyard",86,48,"California","Napa Valley","Napa","Cabernet Sauvignon-Cabernet Franc","S. P. Drummer"
"65",17602,"US","Malibu is considerably colder than Napa Valley, at least during the growing season, and this wine, from a cool vintage, shows high acidity and a minty, green edge. Drink now.","",84,40,"California","California","California Other","Cabernet Sauvignon-Cabernet Franc","Malibu"
"66",106322,"US","Sweet, with crisp acidity framing orange, honeysuckle and vanilla flavors. Nice with Chinese food, a ham sandwich or fresh fruit.","",85,23,"California","California","California Other","Moscato","St. Supéry"
"67",105583,"US","With overtly sweet orange and apricot fruit flavors, this qualifies as a dessert wine. The honeyed flavors are fortunately balanced with bright, crisp acidity. Nice this summer on the beach, with fresh fruit and ham sandwiches.","",84,7,"California","California","California Other","Moscato","Barefoot"
"68",97847,"US","Foggy aromas of lychee, rose and grapefruit pith lead onto the palate, which tastes predominately of bitter ruby grapefruit—a bitterness that seems to cramp the tongue. Acidity kicks in on the finish, leaving the taste buds watering.","Tribute to Innocence Naturally Sweet",82,11,"Texas","Texas","","Moscato","Messina Hof"
"69",65294,"US","This delightful wine is fruity and easy to drink, and offers real pleasure, especially at this price. Scents of peach blossoms in late spring, honeysuckle, vanilla and sweet butter. An absolute delight to drink; rich in fruity, floral flavors and ultrarefreshing acidity. Almost a dessert in itself. Try it with something simple: butter cookies, vanilla ice cream or fresh peaches.","Proprietor's Series",89,12,"California","California","California Other","Moscato","Trinchero"
"70",53157,"US","Honey-sweet in orange and vanilla flavors, this wine has a good backbone of acidity that makes it crisp and clean. Drink it with vanilla desserts or even cheesecake.","",84,8,"California","California","California Other","Moscato","Redtree"
"71",118084,"US","Give credit to cool Monterey for yielding a wine that's this dry, with acidic long hangtime fruit. It's this type of PG that has made the variety an overnight success. The acids perk up the palate, making the pineapple, peach, fig and wildflower flavors bright and tangy.","",87,14,"California","Monterey","Central Coast","Pinot Grigio","Maddalena"
"72",134253,"US","So much fruit, so much acidity, such a nice PG. It's all about apples, peaches, limes and wildflowers, dry and delicious, and the most remarkable acidity for balance. This lusty wine is versatile with all sorts of different foods.","Terra d'Oro",87,18,"California","Santa Barbara County","Central Coast","Pinot Grigio","Montevina"
"73",112289,"US","This is a nice, easy-to-like PG. It's crisp in acidity, with forward melon, lemon and lime, and date flavors, and while it's dry, it finishes with a honeyed sweetness. Try with avocado and crab salad or a rich baked ham.","",85,20,"California","Edna Valley","Central Coast","Pinot Grigio","Cerro Caliente"
"74",110878,"US","Made in the sweet, sugary style that many consumers like, this is almost like an off-dry dessert wine. Tastes like a citrus and peach power drink, with alcohol.","",82,10,"California","Amador County","Sierra Foothills","Pinot Grigio","Montevina"
"75",102632,"US","There's a reason PG has become so popular in America, and this new one from Napa-based Benessere shows why. It's as dry and bright in acidity as a fine Sauvignon Blanc, yet with the rich fruit American wine drinkers love. Those flavors range from peaches and nectarines to Meyer lemons and pineapples, with honeysuckle and spice nuances.","",90,25,"California","Napa Valley","Napa","Pinot Grigio","Benessere"
"76",122501,"US","This elegant Cabernet Franc is drinking beautifully, just beginning to round out the hardness of youth. The wine has a firm and confident backbone, which seems to wrap the acids and tannins tightly together. The framework supports the crisp, clean, immaculately ripe fruit, with flavors of plum, cherry and red licorice. Just 25% new oak was used, adding a light toasty touch to the finish.","",90,23,"Washington","Washington","Washington Other","Cabernet Franc","Camaraderie"
"77",52059,"US","The name is silly, but the wine is serious. The winemaker wisely blended in some Cabernet Sauvignon and Petit Verdot to add structure to Cab Franc's seductive fruit. It's rich in cherries and raspberries, with great acidity and tannins. It's pretty oaky, but the fruit stands up to it. What a beauty with a great steak. Drink now–2018.","Franc 'N Stern",93,125,"California","Oakville","Napa","Cabernet Franc","Oakville East"
"78",83264,"US","Though soft on the finish, this is sharply herbal and stemmy, with woody flavors instead of fruit. There are traces of berry and cassis, but the nature of Cabernet Franc is to be herbal, and here it's in full bloom.","Terebinth",83,28,"Oregon","Rogue Valley","Southern Oregon","Cabernet Franc","Ancient Cellars"
"79",92207,"US","This savory Cab Franc starts with aromas of smoked sausage, red currants and clove, followed by flavors of plum, black cherry and leather. Good tannic structure, meaty complexity and a lingering finish give it further character. Ageable and complex, it will pair well with game and lamb.","Estate",88,17,"New York","Finger Lakes","Finger Lakes","Cabernet Franc","Rooster Hill"
"80",89837,"US","The acidity is the prominent attribute of this wine, jutting out with little flesh to buffer its cut. Light, dusty tannins add some traction to the palate, with a leafy herb note surfacing on the short finish.","Estate Grown",83,36,"Massachusetts","Southeastern New England","","Cabernet Franc","Truro"
"81",4824,"US","A round, pleasant, 50-50 blend of Pinot Blanc and Mélon de Bourgogne (Muscadet), this is front-loaded with citrus, apple and pear fruit, nicely balanced with just enough acidity. Drink to while it's young and fresh.","Pearl",88,18,"Oregon","Willamette Valley","Willamette Valley","White Blend","Grochau"
"82",1857,"US","An unusual earthy, herbal character dominates the mild fruitiness and marzipan character of this medium-bodied, slightly sweet wine.","Bellissima",83,23,"California","Sierra Foothills","Sierra Foothills","White Blend","Naggiar"
"83",9477,"US","A scent of burnt sugar hits the nose first, followed by blasts of papaya and kiwi. The palate tastes off-dry, and it offers a caramelized flavor. The wine clings to the palate on the finish, which gives it some length.","Meadow Breeze Sweet",83,15,"Virginia","Virginia","","White Blend","Stanburn"
"84",47256,"US","To make this luscious wine, Muscat Ottonel and the hybrid Vidal Blanc are air dried on open racks, causing the grapes to raisin, concentrating their sugars. The result is a decadent wine with expressive aromas of apricot purée, tea and baking spice, plus a drizzle of caramel. It feels opulent and weighty, with a wash of zesty acidity and a zing of tangerine on the finish.","Malvaxia Passito",89,35,"Virginia","Virginia","","White Blend","Barboursville Vineyards"
"85",21751,"US","Apples and pears dominate the nose and palate of this blend of Chardonnay, Sauvignon Blanc and Pinot Gris. Full bodied and fermented in stainless steel, this slightly off-dry wine is rich in texture, but stays fresh with a vibrant lemon-lime acidity.","Charval White Table Wine",85,20,"Virginia","Virginia","","White Blend","Tarara"
"86",117955,"US","Made entirely from Chardonnay, this is the most elegant and delicate of the winery's current bubblies. It's a dry, sophisticated wine, with subtle citrus, peach, apple and yeast flavors. If you've never cellared a sparkling wine, try stashing this away for up to a decade.","Blanc de Blancs",90,24,"California","Carneros","Napa-Sonoma","Sparkling Blend","Gloria Ferrer"
"87",75768,"US","Definitely on the sweet side, like iced strawberry tea with white sugar. But It's clean and crisp and bubbly.","Brut",85,13,"California","California","California Other","Sparkling Blend","Four Paws & A Tail"
"88",70396,"US","The rosé is especially nice; with a pretty cherry core of sweet fruit. Basically it is free run (saignée) juice with a smidgen (two percent of  still wine added to brighten the color. Barrel aged and fermented; 300 cases produced.","Rosé",88,24,"Washington","Washington","Washington Other","Sparkling Blend","Mountain Dome"
"89",73414,"US","As the label says, this is a sweet bubbly, but it's not insipid or cloying. Brisk acidity keeps the raspberry and vanilla flavors clean. Although it's a little scoury, the price is right for a wine that's so deliciously drinkable.","Sweet Rosé",86,13,"California","California","California Other","Sparkling Blend","Korbel"
"90",18197,"US","A nice brut style wine with plenty of flavor. Satisfies for its range of citrus fruits, strawberries, vanilla and brioche. Very rich and delicate, although it's a little coarse. Drink now.","J Cuvée 20",87,22,"California","Russian River Valley","Sonoma","Sparkling Blend","J Vineyards & Winery"
"91",85153,"US","A bit unripe, with some vegetal flavors along with the blackberries. There's also a lot of sweet heat from high alcohol.","Zinfusion Reserve",82,18,"California","Paso Robles","Central Coast","Zinfandel","Castoro Cellars"
"92",34047,"US","Cline makes a lot of this wine and they do a good job with it. Soft and leathery in spicy baked plum and blackberry, this is a perfet wine to pair with a myriad of midweek meals and outdoor parties.","",85,12,"California","Lodi","Central Valley","Zinfandel","Cline"
"93",61680,"US","Dark cherries, plums, olives and licorice, as well as an edgy, chemical note. Lean in style, the palate's mixed berry flavors have olive accents. Finishes long, with firm tannins and tart acidity.","Papera Ranch",88,30,"California","Russian River Valley","Sonoma","Zinfandel","De Loach"
"94",53589,"US","Semi-sweet in jammy berry flavors, this Zin also has an acidic edge that makes it taste like a cherry and black raspberry sour candy.","Estate",83,29,"California","Paso Robles","Central Coast","Zinfandel","Midnight"
"95",135200,"US","A good, sound Zinfandel, although a bit too high in alcohol and soft in structure. But it has pretty flavors of cherries, blackberry cobbler, mocha and pepper, and will happily wash down a nice steak.","Somers Ranch",88,34,"California","Dry Creek Valley","Sonoma","Zinfandel","Dry Creek Vineyard"
"96",148465,"US","Robust, full-bodied and bone dry, with baked cherry pie, black currant and mocha flavors accented by sweet toasty oak, this wine is wrapped in thick, jagged tannins. The best thing about it is the rich, ripe, deeply fruity flavors.","Partridge-Leigh Vineyard",85,25,"California","Paso Robles","Central Coast","Barbera","Chumeia"
"97",72913,"US","With 20% Petite Sirah blended in, Andis's Barbera is juicy, balanced and perfumey. It's a beautiful wine with cranberry, vanilla and cherry aromas and flavors. Pair with your favorite pasta, pizza or grilled meats.","Cooper Ranch",91,28,"California","Amador County","Sierra Foothills","Barbera","Andis"
"98",69412,"US","Neutral oak, 100% varietal. These three new releases from Cave B all taste of extremely young fruit, perhaps overcropped? In any event, without much going on. This is acidic, tastes like cranberry juice, with some volatility also.","Estate",82,22,"Washington","Columbia Valley (WA)","Columbia Valley","Barbera","Cave B"
